Município;UF;Índice de Progresso Social;ÁREA km²;PIB PER CAPITA;Necessidades Humanas Básicas;Fundamentos do Bem-estar;Oportunidades;Nutrição e Cuidados Médicos Básicos;Água e Saneamento;Moradia;Segurança Pessoal;Acesso ao Conhecimento Básico;Acesso à Informação e Comunicação;Saúde e Bem-estar;Qualidade do Meio Ambiente;Direitos Individuais;Liberdades Individuais e de Escolha;Inclusão Social;Acesso à Educação Superior;Cobertura Vacinal (Poliomielite);Hospitalizações por Condições Sensíveis à Atenção Primária;Mortalidade Ajustada por Condições Sensíveis à Atenção Primária;Mortalidade Infantil até 5 Anos;Subnutrição;Abastecimento de Água via Rede de Distribuição;Esgotamento Sanitário Adequado;Índice de Abastecimento de Água;Índice de Perdas de Água na Distribuição;Domicílios com Coleta de Resíduos Adequada;Domicílios com Iluminação Elétrica Adequada;Domicílios com Paredes Adequadas;Domicílios com Piso Adequado;Assassinatos de Jovens;Assassinatos de Mulheres;Homicídios;Mortes por Acidente de Transporte;Abandono no Ensino Fundamental;Abandono no Ensino Médio;Evasão no Ensino Médio;Distorção Idade-Série no Ensino Médio;Ideb Ensino Fundamental;Reprovação Escolar no Ensino Médio;Cobertura de Internet Móvel (4G/5G);Densidade de Internet Banda Larga Fixa;Densidade de Telefonia Móvel;Qualidade de Internet Móvel;Expectativa de Vida;Mortalidade entre 15 e 50 anos;Mortalidade por Doenças Crônicas Não Transmissíveis;Obesidade;Suicídios;Consumo de Alimentos Ultraprocessados;Áreas Verdes Urbanas;Emissões de CO?e por Habitante;Focos de Calor;Índice de Vulnerabilidade Climática dos Municípios;Supressão da Vegetação Primária e Secundária;Acesso a Programas de Direitos Humanos;Existência de Ações para Direitos de Minorias;Índice de Atendimento à Demanda de Justiça;Taxa de Congestionamento Líquido de Processos;Resposta a Processos Previdenciários;Resposta a Processos Familiares;Acesso à Cultura, Lazer e Esporte;Gravidez na Adolescência (<19 anos);Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD);Praças e Parques em Áreas Urbanas;Paridade de Gênero na Câmara Municipal;Paridade de Negros na Câmara Municipal;Violência contra Indígenas;Violência contra Mulheres;Violência contra Negros;Famílias em Situação de Rua;Empregados com Ensino Superior;Mulheres Empregadas com Ensino Superior;Nota Mediana do Enem
Planalto;BA;55,05;769;12986,65;67,4;55,3;42,45;73,88;62,43;88,87;44,42;59,77;52,52;53,14;55,77;14,24;51,81;71,44;32,3;77,23;785;126,15;13,53;4,35;62,66;39,41;68,29;28,08;68,17;91,06;85,97;96,41;81,87;13,86;35,44;26,57;3,17;10,22;11,4;37,73;4,13;11,87;65,98;2,12;64,4;92,11;69,25;2,97;404,15;18,25;5,14;56,9;1,49;14,01;3,43;44,83;33,01;1;0;72;66;138,5;747,14;3;18,17;0,3;7,13;0;0,62;0;34,92;24,65;5,24;40,76;55,66;507,65
Poção;PE;53,55;205,12;9518,96;64,11;55,33;41,21;76,78;42,74;90,14;46,8;78,14;54,72;33,48;54,99;30,71;48,19;60,38;25,58;98,41;981,73;152,91;20,74;3,25;8,39;45,15;59,76;22,57;63,06;96,77;86,96;97,04;110,57;4,52;30,48;11,43;0,1;0,42;6,23;22,8;4,72;2,72;79,62;9,47;64,84;79,01;65,59;3,72;493,18;25,63;17,14;83,49;1,76;7,88;0,95;50,1;34,81;4;0;156,69;65,87;2;376,8;2;19,51;0,3;2,18;0,44;0,85;6,44;252,94;52,97;0;33,03;44,81;489,59
Poções;BA;59,36;937,86;11407,38;77,78;60,75;39,53;72,69;78,92;92,66;66,86;67,73;59,74;57,47;58,07;19,33;53,66;51,13;34;90,76;1126,3;175,36;15,05;4,56;77,37;73,08;84,47;22,64;75,52;95,81;89,87;98,23;14,35;5,39;14,08;19,05;1,9;4,02;8,45;38,07;4,22;7,02;82,2;8,9;69,02;93,8;72,85;2,38;424,12;17,66;6,9;87,27;0,69;5,22;3,73;45,57;32,63;6;0;120;46;2396,95;1237,93;9;18,93;0,3;1,04;0;0,79;56,5;150,32;194,98;2;42,6;55,45;513,84
Pojuca;BA;57,11;314,93;55252,39;66,62;61,33;43,36;72,92;78,74;86,49;28,34;65,67;64,81;53,06;61,78;14,27;54,8;64,53;39,85;85,91;872,85;148,83;16,98;4,5;77,54;92,74;80,29;33,89;80,43;89,92;70,54;95,94;159,33;10,24;61,63;11,82;1,35;6,43;8,9;42,32;4,38;9,83;95,66;3,85;85,93;93,96;74,14;3,36;378,77;27,32;4,67;68,33;6,5;5,39;1,56;45,32;28,25;4;0;102,67;62;2732,77;863,46;5;13,8;0,29;3,93;0,46;0,58;0;156,78;93,65;5,7;49,77;57,57;554,31
Pombos;PE;58,36;203,1;19982,53;65,23;64,01;45,84;73,29;64,78;82,01;40,84;71,91;68,22;57,33;58,57;29,59;50,06;74,57;29,15;65,56;793,58;168,63;11,16;2,73;58,13;48,06;80,1;34,41;49,55;83,88;75,52;96,08;111,2;4,25;45,01;24,68;4,92;0,47;5,6;18,85;3,84;1,35;98,29;16,33;81,6;93,27;72,42;2,58;436,95;17,27;5,08;71,32;3,16;4,36;2,18;53,65;7,2;7;4;142;72;1312,88;749,93;2;13,73;0,3;0,77;0,55;0,44;0;17,69;63,52;0,78;32,4;42,45;506,4
Ponto Novo;BA;55,91;530,14;7695,3;71,67;55,18;40,9;71,49;75,2;91,86;48,14;51,65;55,6;57,7;55,75;19,19;45,93;69,67;28,79;87,74;966,35;189,5;16,33;4,34;84,03;12;94,28;19,8;77,34;91,99;89,68;98,21;75,9;6,61;43,48;20,07;7,22;12,03;12,83;45,77;3,31;6,5;76,66;13,84;50,27;91,7;70,7;2,64;421,75;13,73;2,79;70,54;3,92;3,28;1,67;48,87;68,1;1;5;296;37;3536,61;1758,91;2;21,43;0,31;0;0;0,89;0;55,1;34,07;1,68;34,95;50,7;464,3
Poranga;CE;54,09;1310,77;8870,69;62,24;56,58;43,46;72,69;49,72;88,58;37,97;75,25;50,38;46,61;54,08;32,88;50,2;63,19;27,56;90,08;894,44;151,56;26,58;3,48;64,54;18,76;39,38;33,86;50,5;97,05;84,6;98,59;96,55;13,33;38,13;18,23;0,88;3,47;9,75;25,03;5,27;0,9;76,89;10,96;29,9;90,92;69,76;2,94;433,6;14,5;28,18;79,32;0,74;2,65;12,43;60,01;14,38;12;0;78,33;71;838,54;614,01;4;14,47;0,31;0;0,89;0,37;17,5;96,65;59,52;0;35,92;44,76;488,54
Porteiras;CE;55,34;224,86;10579,63;67,51;60,53;37,98;76,61;38,31;88,49;66,62;73,39;52,62;57,3;58,81;12,25;52,09;63,44;24,14;92,75;1875,64;146,96;16,62;3,05;38,69;13,89;38,02;40,53;49,38;93,19;88,28;99,14;18,92;3,9;14,66;15,25;0,1;7,15;13,4;18,12;5,5;2,83;92,2;5,79;46,33;78,8;70,9;2,7;406,07;13,75;12,9;43,47;1,6;4,32;2,93;44,86;39,14;2;0;718,6;76,67;1690,12;650,12;3;14,53;0,29;1,06;0,55;0,46;0;187,33;165,02;0;33,87;45,79;459,14
Porto Seguro;BA;58,39;2285,73;20968,21;64,63;62,39;48,16;66,22;72,96;88,15;31,19;57,11;69,98;58,59;63,86;57,03;53,13;50,74;31,76;68,4;613,04;167,41;15,03;5,77;69,31;71;79,55;29,77;85,17;84,33;79,05;97,34;114,82;9,81;54,66;20,67;3,4;10,48;16,22;42,82;4,1;7,32;93,33;20,16;89,98;93,28;73,05;2,59;399,78;17,68;6,77;71,26;5,32;2,68;1,07;44,54;24,93;16;11;158,56;52;1573,01;739,06;6;18,55;0,3;4,77;0,35;0,89;8,45;238,23;143,86;42,8;37,54;45,24;539,79
Potengi;CE;59,34;343,26;12477,84;71,73;60,52;45,76;76,17;51,81;87,59;71,37;70,79;63,38;57,34;50,55;33,77;50,22;70,39;28,67;87,01;770,05;109,28;15,85;4,37;66,26;5,35;46,34;25,96;32,49;96,46;94,15;96,91;50,08;0;16,98;22,64;1,07;5,2;9,22;39,47;4,82;0,98;93,99;13,18;66,19;94,48;70,54;2,17;393,01;17,6;11,32;63,16;0,89;12,74;13,59;49,54;54,45;13;0;102;60;2134,81;675,96;4;18,8;0,29;0,9;0,44;0,45;0;36,79;82,87;2,97;30,07;39,89;510,63
Potiraguá;BA;58,64;1111,57;10888,71;80,55;55,66;39,71;72,49;88,44;90,11;71,15;64,94;50,45;52,33;54,9;12,41;48,93;71,1;26,4;87,28;536,53;151,95;25,4;3,66;93,63;93,76;88,26;25,92;61,91;95,2;91,36;95,79;42,63;0;17,52;25,31;4,53;6,45;8,4;33,38;3,96;3,03;88,83;7,96;48,96;68,52;70,23;2,78;360,99;18,14;14,6;81,02;1,65;17,21;7,79;50,41;6,73;4;0;208;57;4979,57;1980,19;2;22,19;0,29;4,93;0,44;0;0;51,07;40,73;0;37,62;49,22;469,67
Potiretama;CE;56,16;409,14;15911,69;66,77;59,45;42,26;76,69;38,74;92;59,65;76,36;52,6;57,5;51,33;19,68;50,96;66,28;32,13;92,21;663,01;100,06;24,06;3,7;44,07;3,17;36,16;35,96;64,31;98,58;92;97,24;52,67;0;29,29;13,39;0,43;3,82;10,33;17,15;5,45;3,22;70,83;0,55;58,99;94,3;70,23;2,22;337,78;12,31;13,39;100;0,1;8,46;1,67;54,71;36,34;3;3;55;70;1274,71;594,93;2;15,95;0,27;0;0,44;0,23;;54,46;237,34;0;38,71;55,74;485,99
Prado;BA;48,92;1692,1;16895,11;59,61;53,36;33,78;59,92;61,65;85,76;31,11;51,55;52,76;53,89;55,25;9,4;41,78;57,93;26;68,01;809,41;183,62;17,57;7,68;72,51;6,66;69,4;24,74;76,84;85,05;71,69;97,92;113,57;7,71;54,85;20,57;3,85;16,33;16,27;51,68;3,92;7,47;70,42;4,25;60,33;89,71;72,03;3,53;412,42;15,81;5,14;63,6;1,42;7,17;8,86;50,61;27,18;3;0;42;95;1942,58;1195,62;3;23,77;0,36;0,96;0,31;0,31;18,11;135,26;68,44;3,8;28,88;37,97;511,37
Presidente Dutra;BA;61,38;232,06;8507,47;76,42;60,35;47,39;74,07;77,15;95,64;58,81;64,11;62,92;53,63;60,75;26,8;51,63;91,25;19,87;87,13;956,03;151,04;16,74;4,03;94,91;3,06;99,24;30,83;93,2;95,6;91,54;99;38,86;13,26;19,83;23,79;1,43;8,8;7,77;35,23;4,22;15,42;98,75;10,77;65,03;92,19;68,77;3;372,73;20,47;10,58;19,42;0,23;1,7;0;49,97;13,26;10;0;134,43;55,14;2440,11;1098,01;2;17,12;0,27;2,13;0,55;0,93;0;4,42;0;0,37;17,19;21,03;479,9
Presidente Jânio Quadros;BA;53,52;1208,57;7788,07;67,27;55,71;37,58;69,59;42,72;80,89;75,89;64,7;39,08;68,15;50,92;10,31;51,62;65,61;22,77;98,85;179,36;103,91;24,54;7,68;35,92;13,92;38,82;12,1;37,54;81,26;76,09;98,79;12,74;0;5,94;14,26;2,25;7,48;10,57;41,2;4,17;3,82;36,72;11,47;44,46;70,56;71,29;1,62;299,18;16,62;5,94;33,34;3,69;15,59;122,81;43,49;35,29;2;0;187;39;3905,19;3281,41;4;11,39;0,31;0,22;0,22;1;0;177,42;50,51;1,07;22,65;27,74;495,51
Presidente Tancredo Neves;BA;50,15;441,82;11615,24;59,48;54,91;36,04;71,78;53,57;75,25;37,33;61,86;50,54;53,72;53,54;16,19;43,92;69,42;14,64;85,53;991,81;159,46;21,73;3,92;44,9;44,2;57,51;28,3;42,08;73,33;70,81;90,91;100,94;9,09;39,67;25,24;2,02;14,45;8,4;42,43;4,08;5,02;82,5;3,84;59,36;71,25;68,63;2,83;332,22;16,89;7,93;77,37;3,68;14,97;2,52;47,26;51,69;4;0;91,5;60,17;1928,02;567,5;2;18,58;0,35;0,41;0,18;0,95;0;55,29;54,03;1,6;12,18;15,9;496,96
Primavera;PE;55,27;113,56;20474,21;61,22;62,89;41,69;76,78;50,6;81,9;35,59;72,47;64,65;56,27;58,17;8,43;47,41;89,74;21,19;67,61;556,22;140,98;9,83;2,39;52,19;66,9;46,2;59,1;62,75;80,93;81,72;89,41;115,94;7,21;57,81;11,56;1,03;1,4;10,03;24,12;4,07;3,03;99,17;20,74;55,75;93,99;71,03;2,37;389,02;20,9;5,42;75,42;0,82;2,51;1,45;54,97;7,21;1;0;94,5;76;2061,55;644,59;2;21,74;0,29;0,59;0,67;0,98;0;8,65;0;0,47;24,49;29,29;498,54
Queimadas;BA;55,52;2011,06;9493,62;72,13;55,62;38,82;73,03;70,19;89,74;55,55;61,34;48,72;60,57;51,83;15,02;49,86;74,2;16,22;82,33;1461,02;110,32;13,01;5,36;61,32;82,68;71,53;25,93;67,8;90,09;86,48;99,18;54;3,8;25,41;19,24;5,12;9,9;7,33;42,23;3,92;3,53;54,21;5,14;56,21;90,84;70,84;2,38;299,38;15,6;6,93;77,51;2,06;6,1;3,85;54,84;49,27;6;0;87;81;2593,38;1743,73;4;20,28;0,29;0,98;0,18;0,4;0;24,33;22,59;1,65;17,37;20,09;490,37
Quijingue;BA;54,01;1380,8;8672,98;70,57;51,9;39,56;72,24;58,7;84,77;66,55;60,86;37,45;59,69;49,6;15,36;48,65;76,43;17,79;87,23;853,45;125,62;22,18;4,75;62,12;21,91;66,67;29,57;70,01;82,13;73,03;98,88;26,36;2,7;14,84;15,83;4,45;6,63;8,98;46,35;3,67;5,43;53,49;0,05;35,61;69,96;66,36;1,77;295,93;17,18;4,75;59,93;1,19;6,46;1,58;56,95;55,28;1;0;170,2;49;295,82;618,31;3;16,76;0,31;0,9;0,18;0,52;20,66;19,41;0;0,72;19,67;29,4;474,68
Quipapá;PE;57,34;230,62;10778,29;67,54;58,97;45,5;72,45;64,62;88,35;44,72;72,12;58,98;47,6;57,19;32,29;46,31;70,21;33,19;75,2;665,69;167,83;14,47;3,66;60,41;67,35;70,24;39,41;64,64;96,82;83,73;93,68;63,21;10,87;37,93;12,27;1,67;2;9,7;24,82;4,21;2,2;97,25;2,36;57,66;94,28;69,57;3,08;481,28;21,67;5,58;74,2;2,39;3,53;0,56;52,02;30,48;7;6;114;86,5;1454,33;722,1;1;19,9;0,3;0,84;0;0,4;0;38,04;40,71;0,7;47,51;59,37;489,4
Quiterianópolis;CE;56,69;1041,83;9073,85;67,68;58,04;44,34;75,29;41,32;88,88;65,23;77,7;45,25;55,64;53,56;41,99;48,3;59,82;27,24;80,33;583,13;115,07;16,49;3,97;55,02;17,06;25,34;36,12;44,16;96,72;90,04;98,54;31,57;2,46;14,84;29,68;0,42;4,15;10,03;14,62;5,48;0,7;63,05;3,4;36,44;87,25;71,46;2,54;365,6;13,24;14,84;100;0,22;6,13;19,29;51,98;29,86;7;11;72,56;80;1574,95;758,13;2;18,85;0,29;0,2;0,36;0,83;23,88;68,77;104,34;1,04;35,38;48,04;478,19
Quixaba;PE;64;210,71;10000,53;77,21;62,48;52,3;79,52;56,68;91,82;80,83;84,15;52,83;60,17;52,78;41,78;53,49;73,05;40,87;92,71;577,09;123,79;12,35;3,69;48,07;50,21;61,01;28,55;43,48;98,57;99,26;99,68;0;0;10,17;15,26;0,82;0,67;3,05;9,63;5,84;2,6;85,91;2,6;39,62;94,69;70,14;1,66;390,69;21,14;0;76,37;0,55;10,54;16,78;49,03;38,42;13;0;116,5;23;853,07;472,03;2;11,91;0,28;3,35;0,44;0,93;0;22,85;81,7;0;44,16;61,94;571,55
Quixabeira;BA;60,09;366,39;7910,92;74,06;58,89;47,33;79,7;68,5;90,25;57,79;68,75;54,11;57,84;54,86;35,34;50,62;74,11;29,23;96,45;619,85;119,33;20,78;2,78;78,5;5,28;90,88;34,47;75,62;90,98;83,21;99,15;88,93;0;33,82;5,28;1,38;7,98;7,03;35,15;4,56;6,17;75,56;8,35;50,13;93,63;70,19;2,44;273,1;12,62;18,5;85,45;1,31;4,66;2,11;49,45;51,18;10;6;45;82;3256,25;1034,76;2;16,41;0,29;2,77;0,22;0,87;0;21,32;30,66;4,5;37,25;49,86;508,2
Quixadá;CE;58,87;2020,59;12634,87;68,14;64,14;44,35;76,65;65,14;86,66;44,1;74,65;64,38;60,04;57,49;19,41;56,51;65,55;35,91;70,77;1198,88;87,53;18,58;2,45;68,22;91,54;54,7;45,74;64,94;94,49;78,29;94;88,97;7,86;39,45;16,87;0,5;2,7;11,33;17,05;4,9;4,12;91,39;19,37;64,78;94,37;71,52;2,6;323,02;16,84;8,32;57,81;5,21;3,6;4,99;54,57;26,99;5;0;169,33;56,55;1082,59;760,01;8;15,71;0,28;1,27;0,47;0,92;0;116,55;117,23;4,69;49,27;59,9;509,73
Quixelô;CE;56,17;605,35;11786,22;72,34;55,25;40,91;74,38;61,39;86,9;66,68;72,29;48,45;47,89;52,37;13,54;53,46;68,72;27,93;98,11;1830,25;134,1;26,61;3,43;89,04;29,05;43,25;32,21;38,6;94,38;87,73;98,25;21,41;4,26;11,31;31,43;0,32;5,68;13,1;22,93;5,24;3,72;57,92;6,97;48,68;90,24;68,49;2,86;402,62;20,19;17,6;65,69;0,42;8,32;1,89;50,09;50,75;3;0;103,86;77,33;1249,89;631,49;6;16,53;0,28;0,13;0,36;0,57;0;51,11;103,09;0;33,65;44,39;503,24
Quixeramobim;CE;60,31;3324,99;16465,6;74,96;65,8;40,17;78,05;65,25;89,9;66,64;81,19;57,4;59,7;64,91;11,27;55,74;53,77;39,91;94,38;1639,79;119,57;14,3;3,74;73,76;54,69;69,47;49,31;59,4;94,24;90,21;97,46;40,02;3,99;14,61;23,36;0,22;2,2;7,78;19,63;6,19;0,35;78,85;13,26;58,78;90,6;72,33;1,97;369,92;21,63;10,22;64,34;6,49;5,43;14,12;36,29;35,87;1;0;98,33;69,67;1165;416,47;7;14,1;0,29;1,11;0,47;0,77;28,74;202,77;164;6,98;60,37;71,48;497,63
Quixeré;CE;55,39;613,1;29697,1;64,83;61,22;40,11;81,91;67,37;93,35;16,69;78,83;60,52;49,93;55,59;13,46;55,58;56,17;35,21;99,55;1281,18;111,24;8,54;3,79;87,81;91,8;36,3;39,44;94,79;93,55;83,89;98,45;230,98;9,39;73,78;21,08;0,25;2,25;8,38;21,22;5,56;0,67;87,3;17,73;54,41;93,28;71,44;2,76;390,57;29,12;10,54;71,28;0,16;5,4;2,4;48,18;40,41;3;0;99;84,43;977,54;655,69;2;13,27;0,25;2,7;0,55;0,53;0;480,57;610,33;1,6;48,39;55,56;508,49
Rafael Jambeiro;BA;54,84;1090,55;19809,1;64,3;56,34;43,89;75,67;47,92;83,09;50,54;65,98;51,13;54,05;54,19;36,52;45,82;69,4;23,82;92,41;791,17;126,09;10,25;5,55;49,98;18,18;49,61;32,98;50,66;88,63;70,75;98,17;92,19;4,91;37,64;11,19;3,83;4,83;5,48;40,87;3,83;4,95;64,21;4,25;61,83;87,73;71,06;3,36;364,47;19,37;3,39;62,9;3,8;19,28;0,51;49,75;27,35;9;6;143,67;68,33;1066,31;1479,4;2;18,62;0,33;0,46;0,55;0,85;0;72,61;73,32;1,12;31,01;41,41;481,32
Recife;PE;63,33;218,84;34875,19;68,14;67,39;54,46;71,14;75,82;87,89;37,72;77,01;72,57;53,53;66,47;42,56;62,26;38,72;74,31;65,99;1043,65;144,18;13,11;3,94;89,54;57,37;89,55;58,51;87,72;76,57;83,92;98,11;127,25;6,03;49,42;26,34;0,62;1,07;6,68;19,53;4,7;4,27;99,95;15,66;100;94,79;74,5;2,67;463,56;26,88;4,85;82,63;7,91;1,56;0,01;48,52;6,75;7;9;231,26;65,15;698,54;537,73;11;11,63;0,27;2,93;0,43;0,49;60,24;497,65;219,67;67,6;214,1;223,75;569,94
Redenção;CE;58,86;247,99;14558,31;70,11;61,81;44,65;79,55;52,06;87,03;61,79;78,52;62,13;50,66;55,92;15,55;53,52;66,08;43,45;91,53;1748,65;120,29;13,19;2,87;69,27;5,43;45,48;28,97;72,71;91,09;78,06;94,71;46,62;4,77;26,46;15,62;0,17;2,08;9,13;13,97;5,26;2,53;98,78;9,89;59,94;94,25;70;2,83;444,21;20,75;4,41;83,33;1,58;5,09;9,92;55,15;9,06;5;0;92,5;78,33;1631,2;1041,68;6;15,37;0,29;0,72;0,18;0,97;0;77,32;104,78;3,86;67,81;73,88;503,99
Remanso;BA;55,86;4573,51;11471,57;68,59;57,19;41,82;71,28;71,78;74,64;56,64;64,76;51,68;55,14;57,17;16,39;47,56;75,62;27,7;76,58;479,59;154,23;17,26;4,35;57,98;80,98;72,07;10,11;58,25;76,33;57,11;89,87;32,8;7,86;25,13;20,2;3,35;7,08;6,48;39,52;3,92;6,7;60,92;7,14;57,56;92,85;70,41;2,73;416,42;14,88;8,87;66,67;0,45;6,42;2,96;48,45;20,59;4;0;133;77;721,19;770,66;3;21,98;0,31;2,72;0;0,93;0;22,61;13,09;0,61;26,77;33,52;540,11
Reriutaba;CE;55,13;372,95;10079,34;67,18;62,76;35,43;78,01;47,81;86,65;56,27;83;55,48;56,89;55,68;13,19;49,19;44,33;35,02;80,51;626,72;113,51;10,19;3,73;70,18;4,65;39,19;42,65;28,45;97,34;88,22;98,84;56,87;5,44;23,65;16,12;0,55;1,57;5,43;14,57;6,1;0,75;85,6;5,45;49,82;93,67;70,63;1,94;410,43;18,26;16,12;57,42;0,13;2,56;33,32;54,87;11,71;2;0;95;61;1012,94;626,86;2;16,23;0,3;1,68;0,91;0,27;4000;200,22;254,37;4,83;44,98;58,32;498,73
Retirolândia;BA;56,47;242,33;10674,09;66,36;61,34;41,7;77,84;57,74;91,59;38,27;67,95;61,73;53,76;61,9;22,46;51,54;69,34;23,46;82,78;937,83;99,34;10,94;4,1;57,93;14,82;79,93;43,7;78,08;94,7;82,7;99,6;152,14;4,79;51,28;24,91;2,5;4,17;5,93;34,8;3,97;8,28;92,2;4,33;72,98;94,88;71,36;3,23;357,76;17,08;8,79;77,87;1,89;3,18;0;41,26;38,14;9;0;91;72;1779,89;1787,79;3;15,3;0,28;0;0,22;0,75;0;61,02;52,08;0,38;22,78;31,33;492,84
Riachão das Neves;BA;52,46;5977,93;69472,84;62,33;49,57;45,49;71,35;55,7;75,8;46,45;58,49;43,46;52,78;43,55;26,07;42,6;82,71;30,59;83,79;1275,79;115,32;16,58;5,7;50,89;60,2;41,55;14,26;45,15;90,71;64,54;83,19;67,17;7,72;30,5;30,5;3,1;13,35;11,77;44,75;3,86;4,45;53,14;4,54;40,17;84,79;71,73;3,46;331,46;14,11;15,71;84,11;6,32;81,37;79,01;52,62;42,49;1;12;24,5;95,5;4026,52;2387,73;2;19,89;0,36;0,66;0,18;0,51;0;4,82;7,64;0,63;42,61;54,76;468,46
Riachão do Jacuípe;BA;56,97;1155,42;11770,1;74,43;59,4;37,1;74,08;80,22;89,24;54,18;64;56,34;57,89;59,35;30,95;52,84;44,54;20,07;85,31;871,19;98,39;13,07;5,8;83,09;71,13;85,52;26,65;74,91;92,39;76,71;99,71;82,2;3,87;28,75;23,36;2,45;8,53;9,42;33,12;3,83;7,52;72,93;7,96;68,25;90,6;70,29;2,68;306,72;19,29;5,24;64,86;4,01;5,26;0,3;50,23;16,33;6;6;109,67;55,67;1867,44;1107,79;2;14,31;0,27;2,09;0,15;0,62;326,09;272;189,96;7,62;16,02;20,43;528,43
Riacho das Almas;PE;56,89;313,61;12258,42;68;61,25;41,41;76,07;52,76;88,71;54,44;73,5;64,9;52,46;54,15;22,35;50,34;68,44;24,52;79,95;864,68;151,77;14,32;2,81;38,11;45,06;60,98;26,49;55,61;92,32;86,78;99,06;51,61;6,36;28,11;13,57;0,83;2,02;10,67;17,15;4,19;3,2;98,1;11,84;72,97;92,86;70,39;2,99;403,46;19,06;14,54;43,04;0,39;6,24;1,45;49,23;46,56;7;0;124,72;63,76;1776,67;562,24;2;15,33;0,29;1,64;0;0,71;0;40,07;81,04;0,87;23,96;30,76;526,4
Riacho de Santana;BA;55,65;3183,91;9967,64;67,15;57,44;42,34;74,98;52,46;74,4;66,76;71,6;43,66;59,35;55,17;20,78;49,7;77,4;21,48;82,99;647,34;94,88;10,32;5,79;41,47;45,16;45,49;7,73;34,43;89,65;60,36;86,52;31,8;4,36;14,33;18,23;1,32;8,45;5,52;32,6;4,93;3,72;53,99;6,24;39,76;83,07;70,82;2,48;282,63;16,77;9,77;76,67;4,47;15,28;13,68;48,22;29,8;9;0;125;76;3938,43;1831,54;4;16,78;0,32;3,37;0,62;0,69;0;18,33;26,03;1,09;23,83;30,74;504,95
Ribeira do Amparo;BA;51,61;666,04;13338,8;58,55;51,35;44,92;72,62;22,63;67,73;71,22;57,61;45,18;52,18;50,43;20,64;45,86;86,19;27,01;88,44;737,73;130,15;18,57;5,2;18,6;8;12,1;38,43;18,15;76,7;65,52;80,35;42,22;0;17,34;14,45;7,35;6,67;9,65;46,83;3,82;4,9;62,71;3,56;39,1;84,91;66,66;2,56;368,75;17,58;3,61;81,79;0,52;12,32;1,44;52,93;44,3;1;7;64;83;1156,68;1435,63;2;15,87;0,34;0,51;0,89;0,57;0;29,34;0;0,45;31,47;41,12;489,09
Ribeira do Pombal;BA;57,12;1228,13;12850,31;70,16;57,04;44,17;72,74;68,68;88,84;50,38;66,85;57,88;53,08;50,35;18,36;51,52;77,62;29,18;78,24;954,57;123,8;16,7;4,46;57,35;84,35;72,05;29;43,97;96,01;88,98;99,62;81,92;5,79;34,81;32,22;1,42;10,3;7,88;35,6;4,87;9;80,91;4,03;71,93;91,19;67,25;2,39;354,12;20,34;7,78;64,88;3,69;10,52;0,56;55,12;55,75;5;0;112,33;78;771,03;692,3;5;17,3;0,3;0,65;0,4;0,75;0;14,47;21,74;1,46;30,33;37,68;542,65
Ribeirão;PE;55,73;289,57;16949,78;64,09;59,54;43,56;69,78;71,44;91,96;23,19;72,97;64,76;41,85;58,58;19,64;50,23;79,01;25,34;85,17;751,02;178,73;13,93;5,62;77,04;82,5;74,02;53,58;78,27;91,41;92,81;96,62;164,28;13,62;57,9;20,15;2,2;0,72;7,25;22,78;4,09;4,25;95,8;16,65;68,13;92,44;67,68;3,49;519;17,96;5,37;100;3,93;2,45;1,19;57,43;7,86;3;4;142;57,67;2752,14;1326,21;4;20,52;0,28;0,24;0,31;0,74;0;5,67;35,52;1,22;27,4;34,11;521,72
Ribeirão do Largo;BA;55,9;1363,7;11139,3;69,38;47,11;51,22;73,28;41,37;82,09;80,79;36,01;37;63,69;51,73;50,07;43,4;88,91;22,49;93,49;1431,81;129,89;25,13;4,03;55,86;39,13;5,43;22,09;56,66;86,94;69,03;95,63;0;0;10,27;10,27;22,83;8,6;13,77;44,23;3,52;5,82;38,8;2,34;21,09;90,57;70,54;2,11;268,27;16;3,42;73,94;0;23,48;13,35;48,5;25,03;10;12;264;57;1762,31;1920,46;1;20,61;0,34;0,82;0,67;0,84;0;0;27,38;0;29,64;40,15;455,75
Rio de Contas;BA;59,2;1115,25;11526,55;75,47;57,58;44,55;73,51;59,16;86,1;83,13;77,54;34,91;63,61;54,29;28,26;57,57;74,32;18,04;93,15;785,91;112,05;25,11;4,7;74,47;27,18;56,43;37,72;59,03;95,38;70,7;98,59;0;0;4,55;17,07;1,5;1,4;4,4;19,05;4,8;4,07;35,08;7,39;37,55;66,2;71,01;2;320,5;14,45;9,48;54,23;2,67;5,9;11,38;56,68;17,73;6;5;267,6;44,8;4070,7;1649,97;4;8,54;0,29;5,7;0,44;0,37;0;17,87;57,55;0;20,09;26,42;514,29
